screen_name,tweet_id,tweet_date,tweet_time,tweet,collecting_date,collecting_time
KenyaPower_Care,834610297935712256,2017/2/23,3:46:15,b'@BullDust5   Please clarify if 3168812 is your account no. or ref. no. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834606268073537536,2017/2/23,3:30:15,"b'@wangarikash   We are unable to give you a timeline, but we assure you, our team will address the issue. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834570077206888448,2017/2/23,1:6:26,b'@ohato4   Good morning. Please confirm your current meter reading. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834569806330331140,2017/2/23,1:5:22,"b'@Mashah_Quan   Good morning, please confirm your meter no. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834569317756891140,2017/2/23,1:3:25,"b'@Vwaithanji   Kindly confirm your account number, and a brief description of the location and phone number. ^MK.'",2017/2/22,19:46:43
KenyaPower_Care,834569126651772928,2017/2/23,1:2:39,b'@BrownMannInc    We have notified our technical team under ref. 3193634 for your assistance. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834568503776665600,2017/2/23,1:0:11,"b'@KennedyKE  We are unable to give you a timeline, but we assure you, our team will address the issue. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834545544840228868,2017/2/22,23:28:57,b'@tahahassanali   We have notified our technicians to address the complaint under ref. 3193631^MK',2017/2/22,19:46:43
KenyaPower_Care,834545028567547904,2017/2/22,23:26:54,b'@o_omenda   We have notified our technical team under ref. 3193630 for your assistance. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834544297898811394,2017/2/22,23:24:0,"b""@MBenKim   You're welcome.^MK""",2017/2/22,19:46:43
KenyaPower_Care,834541228612059137,2017/2/22,23:11:48,b'@awuor_awuor   Please assist us with you complaint ref. for further assistance.^MK',2017/2/22,19:46:43
KenyaPower_Care,834540644739727362,2017/2/22,23:9:29,"b'@Tonygithinji44    Kindly confirm if there are any landmarks nearby such as schools, market, petrol station, supermarket etc. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834540489521127424,2017/2/22,23:8:52,"b'@pascal_Wanjala   Kindly confirm if there are any landmarks nearby such as schools, market, petrol station, supermarket etc. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834539988897374208,2017/2/22,23:6:53,b'@Wynne_shiru   Please confirm if power has been restored. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834539848157519873,2017/2/22,23:6:19,b'@NonstopMartin   The issue will be addressed by our team. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834539633870520320,2017/2/22,23:5:28,b'@gichukichuma   Please view our previous post. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834539535656706048,2017/2/22,23:5:4,b'@gichukichuma   Token 3177-9152-1893-8827-0046 ^MK',2017/2/22,19:46:43
KenyaPower_Care,834539357369409536,2017/2/22,23:4:22,b'@stanley_kibunja   The technical team serving your area will be addressing the issue under ref. 3193628. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834539241770213376,2017/2/22,23:3:54,b'@stanley_kibunja    Thank you for your feedback. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834538988849487872,2017/2/22,23:2:54,b'@mamush00    Good morning. Token 4833-4104-6904-7333-3782 ^MK',2017/2/22,19:46:43
KenyaPower_Care,834538342213632000,2017/2/22,23:0:20,b'@jas_595   Feedback appreciated. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834538283203960841,2017/2/22,23:0:6,b'@lilykamson   Please allow us to follow up with our technical team. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834538152299741189,2017/2/22,22:59:35,"b'@pacotash   Kindly confirm if there are any landmarks nearby such as schools, market, petrol station, supermarket etc.&amp; phone no. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834537820115128321,2017/2/22,22:58:15,b'@wangarikash   Our team will address the issue. Kindly bear with us. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834537698346008576,2017/2/22,22:57:46,b'@Geokham   Kindly allow us to follow up with our technical team. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834537378207375360,2017/2/22,22:56:30,b'@andrew_kipronok   Feedback appreciated. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834536951415980033,2017/2/22,22:54:48,b'@Kedirah   Kindly request for a statement via customercare@kplc.co.ke ^MK',2017/2/22,19:46:43
KenyaPower_Care,834536804518920194,2017/2/22,22:54:13,b'@loise_muithya   Please assist us with your phone no. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834536583705587713,2017/2/22,22:53:21,b'@JMbuthia   Token 3561-4391-7935-3416-3252  ^MK',2017/2/22,19:46:43
KenyaPower_Care,834536292406931456,2017/2/22,22:52:11,"b'@BrownsPhili   Please assist us with new a/c number, old a/c number, area, installation date and your cell number. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834535893524426753,2017/2/22,22:50:36,b'@Mistwinka   The issue will be addressed by our team soon. Kindly bear with us. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834535760548200449,2017/2/22,22:50:4,b'@SamWaweru   Kindly allow us to follow up with our technical team. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834535437708439552,2017/2/22,22:48:47,b'@Ndikuh   Please bear with us. Our team will attend to you soon. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834535212012933121,2017/2/22,22:47:54,"b'@CoelhoJermaine     We are unable to give you a timeline, but we assure you, our team will address the issue. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834534541884796928,2017/2/22,22:45:14,"b'@Steven_Oundp   Kindly confirm if there are any landmarks nearby such as schools, market, petrol station, supermarket etc.&amp; phone no. ^MK'",2017/2/22,19:46:43
KenyaPower_Care,834534393238736897,2017/2/22,22:44:38,b'@njihiakelvin   Please assist us with your meter no. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834534295096131588,2017/2/22,22:44:15,b'@Biggnesh1   Our team will address the issue. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834533714323501056,2017/2/22,22:41:57,b'@boi_kenyan   Please assist us with your account no. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834533556890304512,2017/2/22,22:41:19,b'@shabadoo_    The technical team serving your area will be addressing the issue under ref. 3193626. ^MK',2017/2/22,19:46:43
KenyaPower_Care,834533379055972352,2017/2/22,22:40:37,b'@Theo_Muhia    Please confirm if power has been restored. ^MK',2017/2/22,19:46:43
KenyaPower_Care,8.346062680735374e+17,2017/2/23,3:30:15,"b'@wangarikash   We are unable to give you a timeline, but we assure you, our team will address the issue. ^MK'",2017/2/22,19:46:3
KenyaPower_Care,8.345700772068883e+17,2017/2/23,1:6:26,b'@ohato4   Good morning. Please confirm your current meter reading. ^MK',2017/2/22,19:46:3
KenyaPower_Care,8.34569806330331e+17,2017/2/23,1:5:22,"b'@Mashah_Quan   Good morning, please confirm your meter no. ^MK'",2017/2/22,19:46:3
KenyaPower_Care,8.34569317756891e+17,2017/2/23,1:3:25,"b'@Vwaithanji   Kindly confirm your account number, and a brief description of the location and phone number. ^MK.'",2017/2/22,19:46:3
